Year,MMF_RR,EQUITY_RR,BONDS_RR,CGTProxy_RR,Sythetic404020_RR,UK_Inflation
1966,0.02733,-0.1378,0.0206,-0.0332,0.0027,0.039
1967,0.04751,0.2027,0.0407,0.0829,0.0613,0.025
1968,0.01299,0.0609,0.0063,0.0164,0.014,0.047
1969,0.02192,-0.1359,0.0153,-0.0363,-0.0017,0.054
1970,0.00695,-0.0903,0.0004,-0.033,-0.0094,0.064
1971,-0.03272,0.0266,-0.0391,-0.0254,-0.0302,0.094
1972,-0.00999,0.2311,-0.0165,0.0517,0.0143,0.071
1973,0.00522,-0.2157,-0.0012,-0.0715,-0.0259,0.092
1974,-0.03595,-0.3618,-0.042,-0.1436,-0.0793,0.16
1975,-0.10741,0.2308,-0.113,-0.0152,-0.0708,0.242
1976,-0.04292,0.1717,-0.0489,0.0116,-0.0214,0.165
1977,-0.0652,-0.2142,-0.0712,-0.1198,-0.0874,0.158
1978,0.02401,0.0035,0.0175,0.0073,0.017,0.083
1979,0.01834,-0.118,0.0122,-0.0327,-0.0024,0.134
1980,-0.03619,-0.0019,-0.0421,-0.0356,-0.0363,0.18
1981,0.01385,0.0477,0.0076,0.0048,0.0062,0.119
1982,0.01851,0.1887,0.0121,0.0476,0.0252,0.086
1983,0.04101,0.3126,0.0343,0.1021,0.0613,0.046
1984,0.03895,0.2044,0.0323,0.0685,0.0467,0.05
1985,0.04995,0.0866,0.0434,0.0336,0.0364,0.061
1986,0.07089,0.3762,0.11,0.1418,0.0913,0.034
1987,0.0404,-0.1238,0.0117,-0.0304,0.0092,0.042
1988,0.07216,0.1761,0.0202,0.0694,0.0651,0.049
1989,0.06568,0.236,0.0077,0.084,0.0679,0.078
1990,0.04338,-0.3716,-0.0111,-0.114,-0.025,0.095
1991,0.04457,0.1737,0.1074,0.0746,0.0515,0.059
1992,0.02912,0.0755,0.1168,0.0473,0.0346,0.037
1993,0.04114,0.2528,0.1696,0.1187,0.0711,0.016
1994,0.02871,-0.0194,-0.0429,-0.0202,0.0046,0.024
1995,0.02986,0.179,0.1389,0.0821,0.0485,0.035
1996,0.03252,0.0248,0.05,0.1719,0.0861,0.024
1997,0.03819,0.1245,0.0571,0.1038,0.0604,0.031
1998,0.0278,0.1933,0.056,0.0909,0.0497,0.034
1999,0.03134,0.2581,-0.0282,0.1192,0.065,0.015
2000,0.02561,-0.0876,0.047,-0.0291,0.0029,0.03
2001,0.02637,-0.1601,0.0451,0.1365,0.069,0.018
2002,0.02552,-0.2935,0.0748,0.0777,0.0431,0.017
2003,0.00756,0.1626,-0.0016,0.0845,0.0369,0.029
2004,0.01613,0.032,0.0221,0.1932,0.0866,0.03
2005,0.01691,0.1941,0.0092,0.2986,0.1307,0.028
2006,0.01729,0.02,-0.0241,-0.0601,-0.0141,0.032
2007,0.01147,0.0203,-0.0015,-0.0115,0.0012,0.043
2008,-0.02353,-0.218,0.0553,0.0308,0.0028,0.04
2009,0.00853,0.1755,0.0138,0.198,0.0849,-0.005
2010,-0.03999,0.1153,-0.0125,0.0641,0.0072,0.046
2011,-0.04544,-0.1013,0.0079,0.019,-0.0134,0.052
2012,-0.0278,0.0742,0.0089,-0.0048,-0.0149,0.032
2013,-0.026,0.2008,-0.0303,0.099,0.0281,0.03
2014,-0.02023,0.0864,0.0569,-0.0776,-0.0386,0.024
2015,-0.00636,0.0302,-0.0015,0.0117,0.0026,0.01
2016,-0.01658,0.2712,0.0035,0.1138,0.0391,0.018
2017,-0.03126,0.0749,-0.0344,-0.0248,-0.0231,0.036
2018,-0.02611,-0.0679,-0.0353,0.0398,0.0029,0.033
2019,-0.01939,0.2051,0.017,-0.0055,-0.0079,0.026
2020,-0.01528,0.1035,0.0312,0.1107,0.043,0.015
2021,-0.03925,0.1838,-0.0417,0.0625,0.0074,0.041
2022,-0.07636,-0.1789,-0.225,-0.1679,-0.1228,0.116
2023,-0.04205,0.0661,-0.0759,-0.0815,-0.0647,0.097
2024,0.00965,0.1613,-0.0086,0.0001,0.0079,0.036
2025,0.00366,0.0885,-0.0855,0.029,0.0149,0.034
